"","WATERBODY_POLY_ID","WATERBODY_TYPE","AREA_HA","GNIS_NAME_1","ZONE","MAP_LABEL","ZONE_NAME","geometry"
"1",17110164,"W",2.28905904029608,NA,"CWH","CWHws2","Coastal Western Hemlock",c(894161.5356689, 1065374.9677522)
"2",17110824,"W",1.39839777275622,NA,"ESSF","ESSFmc","Engelmann Spruce -- Subalpine Fir",c(976136.272920279, 1024869.20501105)
"3",17112292,"W",0.522484767007828,NA,"ESSF","ESSFmc","Engelmann Spruce -- Subalpine Fir",c(984435.533294028, 1027948.04338536)
"4",17112660,"W",0.402917314192653,NA,"ESSF","ESSFmc","Engelmann Spruce -- Subalpine Fir",c(971348.545280247, 1038748.93156452)
"5",17112403,"W",0.488705703678727,NA,"ESSF","ESSFmc","Engelmann Spruce -- Subalpine Fir",c(929641.053283082, 1066895.09720669)
"6",17111507,"W",0.881112060880661,NA,"ESSF","ESSFmc","Engelmann Spruce -- Subalpine Fir",c(986545.689805741, 1023276.66618155)
"7",17114082,"W",0.103256990605593,NA,"ESSF","ESSFmc","Engelmann Spruce -- Subalpine Fir",c(964574.764747139, 1032394.75778704)
"8",17112929,"W",0.339294537359476,NA,"ESSF","ESSFmc","Engelmann Spruce -- Subalpine Fir",c(969270.102125905, 1040063.25601296)
"9",17108910,"W",12.1031765829474,NA,"ESSF","ESSFmc","Engelmann Spruce -- Subalpine Fir",c(973137.732915383, 1033940.58484438)
"10",17111291,"W",1.01574222687483,NA,"ESSF","ESSFmc","Engelmann Spruce -- Subalpine Fir",c(970242.970340863, 1036863.96457914)
"11",17111673,"W",0.797682249617577,NA,"ESSF","ESSFmc","Engelmann Spruce -- Subalpine Fir",c(973905.275197344, 1033460.1987045)
"12",17111438,"W",0.918907489338517,NA,"ESSF","ESSFmc","Engelmann Spruce -- Subalpine Fir",c(924380.738364848, 1122243.28624661)
"13",17112230,"W",0.546493074649572,NA,"ESSF","ESSFmc","Engelmann Spruce -- Subalpine Fir",c(985038.76930687, 1029620.06278652)
"14",17111333,"W",0.990391655930877,NA,"ESSF","ESSFmc","Engelmann Spruce -- Subalpine Fir",c(969944.882179163, 1033947.275232)
"15",17108866,"W",14.0070620715201,NA,"ESSF","ESSFmc","Engelmann Spruce -- Subalpine Fir",c(971304.06958718, 1030564.83719246)
"16",17113277,"L",0.254693232595921,NA,"ESSF","ESSFmc","Engelmann Spruce -- Subalpine Fir",c(968299.650649855, 1031656.93461094)
"17",17111862,"W",0.69392258926928,NA,"ESSF","ESSFmc","Engelmann Spruce -- Subalpine Fir",c(972771.605596069, 1033417.97029662)
"18",17109628,"W",3.84743679068387,NA,"ESSF","ESSFmc","Engelmann Spruce -- Subalpine Fir",c(971129.795079503, 1036508.21521856)
"19",17109165,"W",7.00509507163167,NA,"ESSF","ESSFmc","Engelmann Spruce -- Subalpine Fir",c(929005.697759843, 1123102.48636905)
"20",17112316,"W",0.514074327623844,NA,"ESSF","ESSFmc","Engelmann Spruce -- Subalpine Fir",c(967965.042977939, 1031705.37780817)
"21",17112610,"W",0.414027274820209,NA,"ESSF","ESSFmc","Engelmann Spruce -- Subalpine Fir",c(969834.793245855, 1035544.54135456)
"22",17112352,"W",0.50423174469769,NA,"ESSF","ESSFmcp","Engelmann Spruce -- Subalpine Fir",c(930096.556636438, 1126523.17964239)
"23",17111661,"W",0.807400010794401,NA,"ICH","ICHmc1","Interior Cedar -- Hemlock",c(922877.2811545, 1123788.84007616)
"24",17114193,"L",0.087311072275043,NA,"ICH","ICHmc2","Interior Cedar -- Hemlock",c(911913.52413471, 1127292.69934712)
"25",17113876,"L",0.133889325538278,NA,"ICH","ICHmc2","Interior Cedar -- Hemlock",c(905978.704462462, 1136559.70018894)
"26",17113351,"L",0.23629013889432,NA,"ICH","ICHmc2","Interior Cedar -- Hemlock",c(914438.568072296, 1118489.18752196)
"27",17112694,"L",0.395275787699223,NA,"ICH","ICHmc2","Interior Cedar -- Hemlock",c(911492.650979667, 1133850.98386839)
"28",17113448,"L",0.218998383060098,NA,"ICH","ICHmc2","Interior Cedar -- Hemlock",c(911427.758172655, 1127184.76461647)
"29",17109316,"W",4.21481845305264,NA,"ICH","ICHmc2","Interior Cedar -- Hemlock",c(911172.625738883, 1134309.34187462)
"30",17114225,"W",0.082948646092415,NA,"SBS","SBSdk","Sub-Boreal Spruce",c(994263.565056554, 1035519.86718479)
"31",17114323,"L",0.070964876815677,NA,"SBS","SBSdk","Sub-Boreal Spruce",c(971776.753339967, 1044734.83472651)
"32",17112474,"W",0.45680073889792,NA,"SBS","SBSdk","Sub-Boreal Spruce",c(982065.026409218, 1055660.46840932)
"33",17111493,"W",0.88762459218204,NA,"SBS","SBSdk","Sub-Boreal Spruce",c(965614.687007525, 1019168.67452982)
"34",17109123,"W",7.60112320078015,NA,"SBS","SBSdk","Sub-Boreal Spruce",c(920229.398760197, 1097182.18308443)
"35",17112378,"W",0.497274380788207,NA,"SBS","SBSdk","Sub-Boreal Spruce",c(972052.990143691, 1044263.14631118)
"36",17109748,"W",3.20928951203525,NA,"SBS","SBSdk","Sub-Boreal Spruce",c(922464.216214482, 1071576.25311791)
"37",17111759,"W",0.746616349187493,NA,"SBS","SBSdk","Sub-Boreal Spruce",c(997158.252883925, 1027377.18305557)
"38",17111837,"W",0.707887090465426,NA,"SBS","SBSdk","Sub-Boreal Spruce",c(931424.541468631, 1087857.44352826)
"39",17109913,"W",2.88661654925346,NA,"SBS","SBSdk","Sub-Boreal Spruce",c(960553.91079351, 1025942.76881555)
"40",17113594,"L",0.186213519829512,NA,"SBS","SBSdk","Sub-Boreal Spruce",c(921313.755895857, 1095855.68350322)
"41",17111954,"W",0.653699512702227,NA,"SBS","SBSdk","Sub-Boreal Spruce",c(994588.747754872, 1048234.0389541)
"42",17112304,"W",0.518832814580202,NA,"SBS","SBSdk","Sub-Boreal Spruce",c(926631.532642818, 1098197.15002104)
"43",17109112,"W",7.82298233428001,NA,"SBS","SBSdk","Sub-Boreal Spruce",c(993052.613274133, 1045569.25321852)
"44",17109878,"W",2.97866221725643,NA,"SBS","SBSdk","Sub-Boreal Spruce",c(943631.196207195, 1069428.0254535)
"45",17110586,"W",1.67557467384934,NA,"SBS","SBSdk","Sub-Boreal Spruce",c(935769.232117079, 1073968.60325069)
"46",17109371,"W",4.40134158345759,NA,"SBS","SBSdk","Sub-Boreal Spruce",c(965965.125157902, 1047377.16557316)
"47",17113483,"L",0.208557513284683,NA,"SBS","SBSdk","Sub-Boreal Spruce",c(955941.375809217, 1043000.45622305)
"48",17112784,"W",0.373871070188284,NA,"SBS","SBSdk","Sub-Boreal Spruce",c(988868.918839967, 1035488.32058877)
"49",17113657,"L",0.175167103731632,NA,"SBS","SBSdk","Sub-Boreal Spruce",c(922519.772577065, 1071597.87133943)
"50",17113391,"W",0.227380674621463,NA,"SBS","SBSdk","Sub-Boreal Spruce",c(960242.845218755, 1026504.17479989)
"51",17111677,"W",0.795528039517999,NA,"SBS","SBSdk","Sub-Boreal Spruce",c(995619.212710449, 1041628.64097148)
"52",17113250,"W",0.259948488733172,NA,"SBS","SBSdk","Sub-Boreal Spruce",c(946687.850709027, 1064519.46415561)
"53",17113514,"L",0.201743099117279,NA,"SBS","SBSdk","Sub-Boreal Spruce",c(954352.621855811, 1042385.69510631)
"54",17112273,"W",0.529335654687881,NA,"SBS","SBSdk","Sub-Boreal Spruce",c(984321.662591865, 1041547.60350235)
"55",17109987,"W",2.69264936958849,NA,"SBS","SBSdk","Sub-Boreal Spruce",c(990839.429289967, 1049483.37089146)
"56",17108788,"W",18.3238491422713,NA,"SBS","SBSdk","Sub-Boreal Spruce",c(993869.309038216, 1044256.50253383)
"57",17111190,"W",1.0980691229552,NA,"SBS","SBSdk","Sub-Boreal Spruce",c(963337.192902481, 1048532.6803059)
"58",17113164,"W",0.278316758295894,NA,"SBS","SBSdk","Sub-Boreal Spruce",c(949318.778825239, 1051407.39461509)
"59",17110497,"W",1.7897424875021,NA,"SBS","SBSdk","Sub-Boreal Spruce",c(981434.040595757, 1055777.55726233)
"60",17108757,"W",22.240966578567,NA,"SBS","SBSdk","Sub-Boreal Spruce",c(996774.945889988, 1022166.4140782)
"61",17113217,"L",0.266052382645011,NA,"SBS","SBSdk","Sub-Boreal Spruce",c(928537.133606216, 1074936.08975576)
"62",17110603,"W",1.63867048058212,NA,"SBS","SBSdk","Sub-Boreal Spruce",c(998528.992059472, 1020621.06516653)
"63",17113012,"W",0.317916770660877,NA,"SBS","SBSdk","Sub-Boreal Spruce",c(985011.974342396, 1051346.51719303)
"64",17108955,"W",10.7654736682385,NA,"SBS","SBSdk","Sub-Boreal Spruce",c(930749.3878457, 1084270.12289221)
"65",17110681,"W",1.55191780072153,NA,"SBS","SBSdk","Sub-Boreal Spruce",c(969572.776919789, 1020085.93345411)
"66",17111978,"W",0.646645818892121,NA,"SBS","SBSdk","Sub-Boreal Spruce",c(979597.217272926, 1056500.27690494)
"67",17109565,"W",4.16390236374438,NA,"SBS","SBSdk","Sub-Boreal Spruce",c(977707.9275133, 1054532.83881065)
"68",17109002,"W",9.75648854041696,NA,"SBS","SBSdk","Sub-Boreal Spruce",c(994894.209396778, 1036030.36774246)
"69",17112748,"W",0.380996844637394,NA,"SBS","SBSdk","Sub-Boreal Spruce",c(995864.418468701, 1035750.83660584)
"70",17110702,"W",1.53021473679543,NA,"SBS","SBSdk","Sub-Boreal Spruce",c(985848.143919397, 1046575.02665525)
"71",17111993,"W",0.639539898988605,NA,"SBS","SBSmc2","Sub-Boreal Spruce",c(934798.002895951, 1091037.83381178)
"72",17113695,"L",0.167325071510673,NA,"SBS","SBSmc2","Sub-Boreal Spruce",c(943985.692271653, 1078932.08486857)
"73",17113950,"L",0.122570691481233,NA,"SBS","SBSmc2","Sub-Boreal Spruce",c(957555.913169992, 1124877.8475732)
"74",17113187,"L",0.273639053195715,NA,"SBS","SBSmc2","Sub-Boreal Spruce",c(981562.236865243, 1068086.12557474)
"75",17112715,"W",0.390708689427376,NA,"SBS","SBSmc2","Sub-Boreal Spruce",c(972578.266883093, 1049697.52722999)
"76",17112973,"W",0.328700250327587,NA,"SBS","SBSmc2","Sub-Boreal Spruce",c(992558.518057242, 1027209.87030058)
"77",17113361,"L",0.233653639021516,NA,"SBS","SBSmc2","Sub-Boreal Spruce",c(919816.346659916, 1082783.35773716)
"78",17113206,"W",0.268529158383608,NA,"SBS","SBSmc2","Sub-Boreal Spruce",c(946361.185010145, 1127681.21990168)
"79",17110469,"W",1.81800671575963,NA,"SBS","SBSmc2","Sub-Boreal Spruce",c(979747.763793827, 1017229.97381901)
"80",17111623,"W",0.827945418831706,NA,"SBS","SBSmc2","Sub-Boreal Spruce",c(918811.249578744, 1081676.66653707)
"81",17111107,"W",1.16543990595341,NA,"SBS","SBSmc2","Sub-Boreal Spruce",c(919308.789276023, 1071017.97901214)
"82",17112177,"W",0.565583586424589,NA,"SBS","SBSmc2","Sub-Boreal Spruce",c(943871.482519892, 1080687.47365485)
"83",17109769,"W",3.34363911937773,NA,"SBS","SBSmc2","Sub-Boreal Spruce",c(957217.764794653, 1124312.64079502)
"84",17111033,"W",1.22253704877794,NA,"SBS","SBSmc2","Sub-Boreal Spruce",c(940529.122598402, 1051093.35906286)
"85",17110069,"W",2.46131044187248,NA,"SBS","SBSmc2","Sub-Boreal Spruce",c(981287.540466331, 1041271.64390928)
"86",17110675,"W",1.55632399229109,NA,"SBS","SBSmc2","Sub-Boreal Spruce",c(947260.501620063, 1125083.73370021)
"87",17114376,"L",0.063788045197725,NA,"SBS","SBSmc2","Sub-Boreal Spruce",c(943890.264636314, 1131163.21191769)
"88",17110736,"W",1.49312237894833,NA,"SBS","SBSmc2","Sub-Boreal Spruce",c(947425.933428416, 1121804.41308273)
"89",17112361,"W",0.50195601503253,NA,"SBS","SBSmc2","Sub-Boreal Spruce",c(947578.076297945, 1081046.96249133)
"90",17113270,"W",0.25627159435153,NA,"SBS","SBSmc2","Sub-Boreal Spruce",c(985602.249499965, 1029604.73112019)
"91",17109004,"W",9.66486294408739,NA,"SBS","SBSmc2","Sub-Boreal Spruce",c(977923.018782207, 1018096.68790646)
"92",17113138,"L",0.285524316564202,NA,"SBS","SBSmc2","Sub-Boreal Spruce",c(988404.891034618, 1032450.87097502)
"93",17110416,"W",1.89377463544309,NA,"SBS","SBSmc2","Sub-Boreal Spruce",c(966858.064677276, 1024225.16082436)
"94",17112911,"L",0.342095673438907,NA,"SBS","SBSmc2","Sub-Boreal Spruce",c(938937.183363383, 1089086.33811653)
"95",700076947,"W",1.99266014373302,NA,"SBS","SBSmc2","Sub-Boreal Spruce",c(1003244.70273985, 1052383.61317133)
"96",17113317,"L",0.244320403185487,NA,"SBS","SBSmc2","Sub-Boreal Spruce",c(974700.75577901, 1021254.07011924)
"97",17110157,"W",2.30255209994316,NA,"SBS","SBSmc2","Sub-Boreal Spruce",c(973902.534699856, 1068520.79485967)
"98",17112810,"L",0.367397053238749,NA,"SBS","SBSmc2","Sub-Boreal Spruce",c(976330.402765372, 1070899.51256289)
"99",17109537,"W",4.26471047088206,NA,"SBS","SBSmc2","Sub-Boreal Spruce",c(941252.980485454, 1057838.13829177)
"100",17112442,"W",0.470947472599149,NA,"SBS","SBSmc2","Sub-Boreal Spruce",c(919558.886209872, 1082755.88216558)
"101",17112111,"W",0.590486656689644,NA,"SBS","SBSmc2","Sub-Boreal Spruce",c(986786.929957533, 1034620.00303898)
"102",17112996,"W",0.322587829908729,NA,"SBS","SBSmc2","Sub-Boreal Spruce",c(986568.383849822, 1031049.60535935)
"103",17110306,"W",2.02502593718469,NA,"SBS","SBSmc2","Sub-Boreal Spruce",c(978472.610482382, 1070788.30847189)
